"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"801132","UNKNOWN","START","","","GPRS","39,7660388889","3,1520111111","7458","-93"
"803805","UNKNOWN","STOP","0","0","UNKNOWN","37,3520388889","-6,0387","41920","-106"
"803972","UNKNOWN","START","","","GPRS","37,2164","-3,70065","18230","-87"
"803277","UNKNOWN","STOP","0","0","UNKNOWN","37,2150388889","-7,0854361111","21459","-56"
"817778","UNKNOWN","START","","","GPRS","35,2927","-2,944775","52003","-107"
"819582","UNKNOWN","START","","","GPRS","38,8740888889","-6,9736861111","6004","-84"
"818974","UNKNOWN","START","","","GPRS","37,8859861111","-4,7845388889","14003","-54"
"821361","UNKNOWN","STOP","0","0","UNKNOWN","41,223025","1,5328638889","43700","-66"
"826912","UNKNOWN","STOP","5687","5084","UNKNOWN","37,3854861111","-5,728275","41510","-103"
"882670","UNKNOWN","STOP","3542","3147","UNKNOWN","36,5086","-4,8829611111","29601","-54"
"885795","UNKNOWN","STOP","4324","4893","UNKNOWN","42,4029","-8,6792","36153","-106"
"804536","UNKNOWN","STOP","0","0","UNKNOWN","40,4341138889","-3,53815","28823","-69"
"804379","UNKNOWN","STOP","0","0","UNKNOWN","38,0106888889","-3,374325","23400","-64"
"806088","UNKNOWN","START","","","GPRS","41,9618638889","2,783725","17190","-80"
"808218","UNKNOWN","STOP","0","0","UNKNOWN","42,238","-1,7273138889","31515","-99"
"809938","UNKNOWN","START","","","GPRS","35,8888888889","-5,3148611111","51001","-99"
"810009","UNKNOWN","START","","","GPRS","38,0820888889","-0,9488111111","3300","-73"
"857017","UNKNOWN","STOP","81646","126976","UNKNOWN","38,9397055556","-1,2017333333","2690","-78"
"828039","UNKNOWN","START","","","GPRS","40,5382888889","-3,930625","28229","-59"
"809363","UNKNOWN","STOP","17280","6738","UNKNOWN","38,7360861111","-0,4523","3820","-89"
